settlement_location,pnode,class,scope,in_weis
WACM.UPI.FREDERICK,WACMDACONOUNFRED_MSR_GEN_RA,resource,internal,-
CRSP.TSGT.FSE,CRSP.TSGT.FSE_H,hub,internal,-
WACM.TSWY.GARLAND,WACMWRALSTONUNTSPM_GARLAND_RA,resource,internal,-
WACM_TSPM_MCBRYDE,WACM_TSPM_MCBRYDE_LA,load,internal,-
WAUW_NWDS_HAVRE,WAUW_NWDS_HAVRE_LA,load,review,-
IID,IID,ba,external-seam,yes
WACM_CRSP_TSPM_COSW,WACM_CRSP_TSPM_COSW_LA,load,internal,-
WACM.UPI.OVERLANDSLR,WACMCOLFERLDUNOVERLAND_RA,resource,internal,-
WACM.GPMR.PANORAMA.RTO,WACMRED_TAILUNPANORAMA_RA,resource,internal,-
WACM.PSC2.CRAIG1,WACM.PSC2.CRAIG1_H,hub,internal,-
WACM_DMEA_RTO,WACM_DMEA_RTO_LA,load,internal,-
PGAE,CISO,ba,external-seam,yes
WACM.MEAW.RIDGWAY,WACMW_SCNUNWACM_MEAN_COWC_RA,resource,internal,-
WAUW.NTWK,WAUW.NTWK_H,hub,review,-
NWMT,NWMT,ba,external-seam,yes
WAUW_NWDS_EHAVRE,WAUW_NWDS_EHAVRE_LA,load,review,-
WACM.LAP.BUFFALOBILL,WACMBUFFBLPPUNG_PLT_RA,resource,internal,-
WACM.UPI.DAVIS,WACMDAVSLRUNDAVIS_MSR_GEN_RA,resource,internal,-
WACM.DMEA.DROP3.RTO,WACMBULLOCKUNWACM_DMEA_BUL3_RA,resource,internal,-
PSLO_PEETZ_PR_PSCO_PSCM,PSLO_PEETZ_PR_PSCO_PSCM_LA,load,review,-
WAUW_NWDS_WHAVRE,WAUW_NWDS_WHAVRE_LA,load,review,-
CSU.SOUTHPLANT_AU4,WACMSOUTHPLAUNSOUTHPLANT_AU4_RA,resource,internal,-
WACM.CRSP.MORROWPOINT,WACMMPTUNMP_12_PLT_RA,resource,internal,-
WACM_LAP_WILW,WACM_LAP_WILW_LA,load,internal,-
PRPM.RAWHIDEB,PRPARAWHIDEUNRAWHIDE_B_RA,resource,internal,-
WACM_PACE_LARAMIE,WACM_PACE_LARAMIE_LA,load,internal,-
