settlement_location,pnode,class,scope,in_weis
AESO,AESO,ba,external-seam,yes
AVA,AVA,ba,external-seam,yes
AZPS,APS,ba,external-seam,yes
BANC,BANC,ba,external-seam,yes
BCHA,BCHA,ba,external-seam,yes
BPA,BPA,ba,external-seam,yes
CISO,CISO,ba,external-seam,yes
IID,IID,ba,external-seam,yes
IPCO,IPCO,ba,external-seam,yes
LADWP,LADWP,ba,external-seam,yes
NEVP,NVE,ba,external-seam,yes
NWMT,NWMT,ba,external-seam,yes
PACW,PACW,ba,external-seam,yes
PGAE,CISO,ba,external-seam,yes
PGE,PGE,ba,external-seam,yes
PSEI,PSEI,ba,external-seam,yes
SCE,CISO,ba,external-seam,yes
SCL,SCL,ba,external-seam,yes
SDGE,CISO,ba,external-seam,yes
SRP,SRP,ba,external-seam,yes
TEPC,TEPC,ba,external-seam,yes
TID,TID,ba,external-seam,yes
TPWR,TPWR,ba,external-seam,yes
VEA,NVE,ba,external-seam,yes
WWA,WWA,ba,external-seam,yes
AVRN,AVRN,ba,internal,yes
BHBA,BHBA,ba,internal,-
CEN,CEN,ba,internal,yes
CHPD,CHPD,ba,internal,yes
CRSP.CSU.FSE,CRSP.CSU.FSE_H,hub,internal,-
CRSP.LAPT.FSE,CRSP.LAPT.FSE_H,hub,internal,-
CRSP.PRPA.FSE,CRSP.PRPA.FSE_H,hub,internal,-
CRSP.TSGT.FSE,CRSP.TSGT.FSE_H,hub,internal,-
CRSP_HUB,CRSP_HUB_H,hub,internal,-
DEAA,DEAA,ba,internal,yes
DOPD,DOPD,ba,internal,yes
EPE,EPE,ba,internal,yes
GCPD,GCPD,ba,internal,yes
GRID,GRID,ba,internal,yes
GWA,GWA,ba,internal,yes
LAMW,LAMW,ba,internal,yes
LAPT.CSU.FSE,LAPT.CSU.FSE_H,hub,internal,-
LAPT.PRPA.FSE,LAPT.PRPA.FSE_H,hub,internal,-
LAPT.TSGT.FSE,LAPT.TSGT.FSE_H,hub,internal,-
LAPT.UGP.FSE,LAPT.UGP.FSE_H,hub,internal,-
LAP_HUB,LAP_HUB_H,hub,internal,-
MEAI_CRG_HUB,MEAI_CRG_HUB_H,hub,internal,-
MEAN.CPW.HUB24,MEAN.CPW.HUB24_H,hub,internal,-
PACE,PACE,ba,internal,yes
PNM,PNM,ba,internal,yes
PRPM.CRAIG1,PRPM.CRAIG1_H,hub,internal,-
PSCO,PSCO,ba,internal,-
RCDC,RCDC,ba,internal,yes
SCSW,SCSW_H,hub,internal,yes
TSPM_SOURCEHUB,TSPM_SOURCEHUB_H,hub,internal,-
WACM.PSC2.CRAIG1,WACM.PSC2.CRAIG1_H,hub,internal,-
WACM_CRSP_WILW,WACM_CRSP_WILW_H,hub,internal,-
WACM_CRSP_WMPA,WACM_CRSP_WMPA_H,hub,internal,-
WACM_NTUA_AZPS,WACM_NTUA_AZPS_H,hub,internal,-
WACM_NTUA_PNM,WACM_NTUA_PNM_H,hub,internal,-
WACM_PACE_NCODY,WACM_PACE_NCODY_H,hub,internal,-
WALC,WALC,ba,internal,yes
SWPW_HUB,SWPW_HUB_H,hub,review,-
WAUW.NTWK,WAUW.NTWK_H,hub,review,-
